fips,state_name,usps,census_region,bea_region
1,Alabama,AL,South,Southeast
2,Alaska,AK,West,Far West
4,Arizona,AZ,West,Southwest
5,Arkansas,AR,South,Southeast
6,California,CA,West,Far West
8,Colorado,CO,West,Rocky Mountain
9,Connecticut,CT,Northeast,New England
10,Delaware,DE,South,Mideast
11,District of Columbia,DC,South,Mideast
12,Florida,FL,South,Southeast
13,Geogia,GA,South,Southeast
15,Hawaii,HI,West,Far West
16,Idaho,ID,West,Rocky Mountain
17,Illinois,IL,Midwest,Great Lakes
18,Indiana,IN,Midwest,Great Lakes
19,Iowa,IA,Midwest,Plains
20,Kansas,KS,Midwest,Plains
21,Kentucky,KY,South,Southeast
22,Louisiana,LA,South,Southeast
23,Maine,ME,Northeast,New England
24,Maryland,MD,South,Mideast
25,Massachusetts,MA,Northeast,New England
26,Michigan,MI,Midwest,Great Lakes
27,Minnesota,MN,Midwest,Plains
28,Mississippi,MS,South,Southeast
29,Missouri,MO,Midwest,Plains
30,Montana,MT,West,Rocky Mountain
31,Nebraska,NE,Midwest,Plains
32,Nevada,NV,West,Far West
33,New Hampshire,NH,Northeast,New England
34,New Jersey,NJ,Northeast,Mideast
35,New Mexico,NM,West,Southwest
36,New York,NY,Northeast,Mideast
37,North Carolina,NC,South,Southeast
38,North Dakota,ND,Midwest,Plains
39,Ohio,OH,Midwest,Great Lakes
40,Oklahoma,OK,South,Southwest
41,Oregon,OR,West,Far West
42,Pennsylvania,PA,Northeast,Mideast
44,Rhode Island,RI,Northeast,New England
45,South Carolina,SC,South,Southeast
46,South Dakota,SD,Midwest,Plains
47,Tennessee,TN,South,Southeast
48,Texas,TX,South,Southwest
49,Utah,UT,West,Rocky Mountain
50,Vermont,VT,Northeast,New England
51,Virginia,VA,South,Southeast
53,Washington,WA,West,Far West
54,West Virginia,WV,South,Southeast
55,Wisconsin,WI,Midwest,Great Lakes
56,Wyoming,WY,West,Rocky Mountain
